#,Name,Location,Type,TypeExt,Index,Description
0.01,patient(+),0;1,POINTER,,B,This is the name of the patient.
365,number with vein,207;1,NUMERIC,,,"This is the number of coronary artery bypass graft (CABG) anastomoses to native coronary arteries with vein regardless of whether other procedures were performed. Do not leave this information blank. If no coronary artery bypass grafts were performed, enter '0'."
366,number with ima,207;2,NUMERIC,,,"This is the number of coronary artery bypass graft (CABG) anastomoses to native coronary arteries with internal mammary arteries (IMA) regardless of whether other procedures were performed. Do not leave this field blank. If no coronary artery bypass grafts were performed, enter '0'."
367,aortic valve replacement,207;3,BOOLEAN,,,"CICSP Definition (2004): Indicate if the patient had an aortic valve replacement (either the native or a prosthetic aortic valve) performed with or without additional procedure(s), either with or without placing the patient on cardiopulmonary bypass."
368,mitral valve replacement,207;4,BOOLEAN,,,"CICSP Definition (2004): Indicate if the patient had a mitral valve replacement (either the native or a prosthetic aortic valve) performed with or without additional procedure(s), either with or without placing the patient on cardiopulmonary bypass."
369,tricuspid valve replacement,207;5,BOOLEAN,,,This determines whether the patient had a tricuspid valve replacement performed with or without additional procedures.
370,valve repair,207;6,SET OF CODES,,,"CICSP Definition (2004): Indicate if the patient has had any reparative procedure to a native valve, either with or without placing the patient on cardiopulmonary bypass. Valve repair is defined as a procedure performed on the native valve to relieve stenosis and/or correct regurgitation (annuloplasty, commissurotomy, etc.); the native valve remains in place. Indicate the one appropriate response."
371,lv aneurysmectomy,207;7,BOOLEAN,,,This determines whether the patient had a resection or plication of a left ventricular aneurysm with or without additional procedures.
372,great vessel repair (req cpb),207;8,BOOLEAN,,,"CICSP Definition (2004): Indicate if patient had a primary procedure to repair the aorta or other great vessels, with cardiopulmonary bypass, with or without aortic valve replacement, CABG, or other procedure(s)."
373,cardiac transplant,207;9,BOOLEAN,,,"CICSP Definition (2004): Indicate if an orthotopic or heterotopic transplant was performed at this procedure either with or without placing the patient on cardiopulmonary bypass. (Heart-lung transplant should be listed under ""Other CT procedures."")"
374,electrophysiologic procedure,207;10,BOOLEAN,,,"This determines whether any procedure was performed with cardiopulmonary bypass to correct an electrophysiologic disturbance, such as resection of bypass tract(s) for WPW or endocardial resection for ventricular tachycardia. (This does not include implantation of automatic internal cardiac defibrillator AICD)"
375,misc. cardiac procedures,207;11,BOOLEAN,,,This determines whether there were any miscellaneous cardiac procedures performed.
376,asd repair,207;12,BOOLEAN,,,This determines if there was a procedure performed to repair an atrial septal defect.
377,myxoma resection,207;14,BOOLEAN,,,This determines whether a resection of an atrial myxoma was performed.
378,myectomy for ihss,207;16,BOOLEAN,,,This determines whether the patient had a resection of a portion of the interventricular septum for idiopathic hypertrophic subaortic stenosis (IHSS).
379,other tumor resection,207;18,BOOLEAN,,,CICSP Definition (2004): Indicate if patient had resection of any tumor other than atrial myxoma from the heart either with or without placing the patient on cardiopulmonary bypass.
380,vsd repair,207;13,BOOLEAN,,,This determines whether the patient had a procedure performed to repair a ventricular septal defect.
381,foreign body removal,207;15,BOOLEAN,,,This determines whether a procedure was performed to remove any foreign body (e.g. bullet or catheter fragment) from the heart with the aid of cardiopulmonary bypass.
382,pericardiectomy,207;17,BOOLEAN,,,This determines whether the patient had a resection of the parietal pericardium with the aid of cardiopulmonary bypass. (NOTE: most pericardiectomies are performed without cardiopulmonary bypass)
383,other procedures (y/n),207;19,BOOLEAN,,,This determines whether the patient had any other surgical procedure on the heart and/or great vessels (including AICD placement) requiring cardiopulmonary bypass.
383.1,other cardiac procedures,207.1;1,FREE TEXT,,,CICSP Definition (2004): This is the free text description of other procedures requiring cardiopulmonary bypass that were performed on this patient at the same time as the primary cardiac procedure.
384,operative death,208;1,BOOLEAN,,,"This determines whether the patient died within the 30 days following surgery regardless of cause, in or out of the hospital, and any death occurring later than 30 days as a direct result of a perioperative occurrence of surgery (e.g. mediastinitis). If operative death occurred, record the date of death."
385,perioperative mi,208;2,BOOLEAN,,,"NSQIP Definition (2004): A new transmural acute myocardial infarction occurring during surgery or within 30 days following surgery as manifested by new Q-waves on ECG. Non-Q-wave infarctions should be entered under ""OTHER"". CICSP Definition (2004): Indicate the presence of a peri-operative MI as documented by the following criteria: 0-24 hours post-op The CK-MB (or CK if MB not available) must be greater than or equal to 5-times the upper limit of normal, with or without new Q waves present in two or more contiguous ECG leads. No symptoms required. >24 hours post-op Indicate the presence of a peri-operative MI (> 24 hours post-op) as documented by at least one of the following criteria: 1. Evolutionary ST- segment elevations 2. Development of new Q-waves in two or more contiguous ECG leads 3. New or presumably new LBBB pattern on the ECG 4. The CK-MB (or CK if MB not available) must be greater than or equal to 3 times the upper limit of normal. Because normal limits of certain blood tests may vary, please check with your lab for normal limits for CK-MB and total CK. Defining Reference Control Values (Upper Limit of Normal): Reference values must be determined in each laboratory by studies using specific assays with appropriate quality control, as reported in peer-reviewed journals. Acceptable imprecision (coefficient of variation) at the 99th percentile for each assay should be defined as < or = to 10%. Each individual laboratory should confirm the range of reference values in their specific setting. This element should not be coded as an adverse event for evolving MI's unless their enzymes peak, fall, and then have a second peak."
386,endocarditis,208;3,BOOLEAN,,,"CICSP Definition (2004) Indicate if the chart documents that active endocarditis was present within 30 days postoperatively. Endocarditis is defined as any postoperative intracardiac infection (usually on a valve) documented by two or more positive blood cultures with the same organism, and/or development of vegetations and valve destruction seen by echo or repeat surgery, and/or histologic evidence of infection at repeat surgery or autopsy. Patients with preoperative endocarditis who have the above evidence of persistent infection should be included."
